"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21801542439.2043","19250762304.759","11203943132.7907","10217996272.3038","10769768354.9844","11512882201.2876","12188158880.2036","12592937350.635","13512221775.6837","13958125094.3598","14781654475.3627","16200693304.8905","18339184820.8016","20906670695.9981","23101871118.8312","26313031204.1439","29786351322.9505","33867081454.6554","36203910075.1721","31099158754.3195","31783340246.9814","33277157238.1681","35673112559.6373","36850325274.1053","38176936984.1905","39398598967.2899","39477396165.156","42438200878.1907","44644987323.7094","48038006359.6591","44579269902.145","47164867556.762","53107640868.8087","57515575060.7049","60908993989.5524",
"American Samoa","ASM","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1329089237.51845","1358021545.47963","1373754914.64808","1446287619.53479","1542847660.8934","1475582825.14792","1573044257.44848","1659109532.84019","1737606636.23234","1802032675.8295","1913822712.19418","1826779954.41738","1845545274.936","1957692355.7647","2070594497.83697","2204638354.72935","2484807048.41132","2716271365.28872","2715890908.07296","2390992152.19408","2203526249.02176","2160364841.19134","2233237030.97826","2219815671.04401","2268613698.85554","2300864764.37569","2395668849.3539","2460656794.99278","2625816198.94599","2709112916.44459","2197936454.54413","2377570792.25983","2594115333.09169","2657083928.89311","2772069805.87014",
"Australia","AUS","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","617847648621.41","615485862957.577","618121924554.201","643135638571.314","668734934843.105","694721481116.115","721564747408.027","749801360543.87","784766207088.24","824221772852.574","856543653829.471","873889566768.973","908666750833.012","936751476610.192","976322526977.807","1007117375129.8","1034866944503.98","1073915803621.98","1112429291182.38","1133482636467.42","1158645727308.34","1186535259000.63","1233008397315.4","1265093660382.32","1297926435201.99","1326353221353.02","1362952426087.29","1394022177805.79","1434148684009.84","1465291868872.82","1463539515544.78","1494437295625.78","1557837087559.46","1611457718603.37","1634519491771.55",
"Austria","AUT","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","332534700946.621","343979306621.826","351180597427.235","353030651123.059","361510865466.38","371155917113.375","379379867929.066","387520734127.704","401056368460.699","416143805650.687","429416807753.224","435072173415.825","441530248911.306","446570603897.867","458026280164.258","468654162313.448","483976041628.042","502247224632.161","509546411781.172","491272728555.347","500159765900.44","514801783004.51","518036005847.01","516737152698.048","520642646157.299","527429344454.776","538596182148.767","550834433468.823","564518378915.863","574425542090.663","538131871027.201","563937063927.258","593701067125.325","588031444397.695","581130657036.073",
"Azerbaijan","AZE","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77320440961.5887","76779197739.0059","59427098799.3491","45699439738.0564","36696649543.0211","32366445224.3955","32787208819.6152","34688866979.6641","38157753542.8771","40981427800.9427","45530365935.8146","50037872022.6363","54760904902.3632","60351062363.575","65935829772.9982","84372501915.7725","113452505071.535","142341161388.804","157417136241.41","172166339204.334","180411097171.413","177573234904.735","181485064990.284","192089991884.278","197463873517.474","199536348430.176","193423355945.474","193720482550.318","196627067977.3","201503043576.527","193042009781.433","203884098954.124","213496582562.55","216388345347.113","225198384995.517",
"Burundi","BDI","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7799958297.46631","8189709456.59676","8272425388.69772","7756226044.32796","7459162587.12507","6868396909.94521","6318925157.29102","6218454247.48862","6513830823.93938","6448041132.8457","6392790185.90594","6524213620.96985","6814314046.1228","6730925379.84221","7056275277.3296","7119781754.8892","7505233008.23771","7764309791.27688","8141788511.19378","8452214175.39105","8885319152.80728","9243628531.93661","9654665547.09098","10130079612.68","10559660855.4562","10147834073.5944","10086946976.8972","10137381839.1223","10300587140.1404","10487292010.8126","10521601909.4771","10847771568.5348","11048346804.0333","11342844863.7021","11738623007.857",
"Belgium","BEL","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","415225353062.173","422836742767.23","429308913461.154","425179506605.74","438899927913.281","449366625758.738","455304700797.387","472577466177.307","481848644045.403","498919182634.087","517462537373.483","523152574188.301","532082235675.713","537605010811.4","556803997081.452","569731526672.539","584273017295.449","605756295746.54","608463451711.934","596863454662.895","613040313529.12","624879072343.677","626227583952.988","628140675086.738","639230752358.017","648654064142.456","656395768106.755","666074111137.447","678582772956.989","695159803963.389","661840906422.094","702925341289.817","732865467283.813","741672251377.257","749229139749",
"Benin","BEN","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11656583104.9364","12149166926.2602","12508504151.8532","13238521979.4165","13505993136.7465","14322457251.5743","14941800983.3964","15798666707.4387","16424453813.4141","17301757698.4924","18315245216.9866","19292022099.3023","20187756640.9639","20882937540.2307","21807985798.8406","22181592483.5838","23056376559.0627","24436611800.8323","25633169334.4503","26227677415.8337","26782147492.6578","27575904170.7536","28902642501.7287","30981156880.988","32950839416.3041","33536755116.7638","34656773215.4406","36622353578.7467","39075045480.191","41757815652.7983","43364987288.175","46467947984.7692","49373564169.2145","52510156788.1442","56423799507.9997",
"Burkina Faso","BFA","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10147246626.4723","11067600318.4869","11093355815.5061","11477339562.9845","11628267412.8817","12292982651.9561","13647023204.9982","14509083107.0829","15569366222.1532","16720757878.4085","17036525024.9961","18163219549.8152","18953857927.1605","20432731533.6007","21347801635.5542","23196921150.2789","24647462832.3919","25660813447.6573","27149138508.3087","27953282649.4762","30314295612.087","32321878819.7076","34407503766.8525","36400587615.628","37975584844.5378","39464694412.0733","41815991712.8466","44410042330.9491","47343134249.8795","50131268465.3998","51139294287.7971","54689652540.5665","55508487752.6131","57151639723.4798","60000707833.4573",
"Bangladesh","BGD","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231057491642.193","239110371611.813","252124397255.285","264003393854.592","274273459684.511","288319765753.339","301360235844.557","314890998518.98","331192990133.438","346660220655.243","365009967807.802","383542574281.815","398244236516.444","417119290521.284","438974393023.351","467665517646.591","498867716635.171","534080790061.383","566199285910.257","594764746496.571","627903778372.382","668493859146.43","712089410611.241","754911659700.223","800667303501.53","853132148522.175","913819518032.847","974042508801.188","1045336699213.33","1127729250889.44","1166613553390.4","1247561124482.2","1336135828193.28","1413299173688.33","1472986459828.03",
"Bulgaria","BGR","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130382676875.104","119371396687.806","110690245571.225","109051792097.008","111034366019.892","114212190827.142","120157383385.112","103196711530.377","107106958964.179","98114160969.1359","102614878790.417","106538568399.081","112794439825.955","118701657931.066","126429640551.335","135350957495.882","144558326824.917","154177798270.758","163628217070.786","158151349329.057","160611171578.128","163968226567.561","165196045074.112","164299440891.33","165859380265.382","171494541044.439","176685044439.443","181536685802.737","186164898884.333","193218408334.804","187005011647.733","201555151287.05","209695515554.647","213652081659","219657473662.759",
"Bahrain","BHR","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21547623542.9407","23967421295.4797","25570841331.3228","28861810335.4429","28789655410.9651","29921086678.5728","31150845231.2916","32114340635.5879","33652618705.9848","35099680719.4909","36959988157.876","37880642522.1453","39149095031.5121","41614094816.0339","44519158861.3608","47532659557.3472","50606596422.5285","54803887940.4744","58226396743.3597","59705280668.7909","62293086037.1284","63494195104.0003","65908897751.0461","69397206737.5295","72387433086.8861","74202817290.9218","77033649779.8554","80849769947.2943","82509283148.6207","84203097859.2666","79225547127.628","82671890844.1512","87781147010.6722","91185401848.1927","93936691918.218",
"Bahamas, The","BHS","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9126074162.89401","8744441360.32117","8409915559.66366","8435801834.47533","8701438145.80755","9082452545.67614","9466052686.57894","9587952083.48449","10040196468.8088","10757478536.9845","11203743853.6175","11497955268.1869","11808969927.5266","11659596297.6349","11762477514.0821","12161941155.0969","12468007619.6576","12648307466.9182","12354405314.5226","11838556008.8095","12020711429.1123","12094418913.8415","12641101658.2713","12279151518.9249","12505985014.5866","12630638288.0615","12484594380.9065","12905479581.8187","13215020091.4639","13104139293.4573","10471575966.1483","12313201284.2481","13652564214.7989","14068800174.3668","14544115517.8483",
"Bosnia and Herzegovina","BIH","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10735823007.9354","9732235589.28154","9105780566.24145","8907151759.31243","9898692818.93387","11479345879.2165","17701071009.5142","24186943178.1512","28205936236.2476","30891584251.541","32564152224.8412","33353283614.994","35030101340.0537","36384763978.9497","38686197145.4406","40193867105.7305","42369964506.075","44851626858.3288","47293273640.7215","45872368076.2686","46269471065.6477","46713431844.5616","46329523823.3045","47418201225.9165","47965336658.5704","50034921315.1926","51657181159.2141","53332992268.5381","55374312123.8692","56973158639.3459","55255363697.7773","59338714265.9436","61846849574.2959","63080320175.5326","64644741816.5155",
"Belarus","BLR","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125855114625.444","124344858655.334","112407750782.487","103864759443.75","91712578582.2119","82174470041.8543","84475358964.102","94105554456.75","102010413023.167","105478766250.594","111596538139.696","116869816097.412","122766211005.286","131412871570.454","146459307804.963","160226484973.142","176249125007.628","191406561392.637","210930029736.794","211351879702.312","227731686449.593","240370737483.727","244475915301.02","246917543398.81","250994459910.067","241382449970.428","235284051667.171","241241875602.159","248839058943.739","252438405140.543","250740143565.292","256855349956.29","244890010824.577","254995495252.449","265220428356.764",
"Belize","BLZ","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1509229599.5401","1687027060.47525","1901803195.12936","2018535873.24755","2018136103.80194","2032927573.28952","2055414604.6051","2142464401.38673","2225816330.79647","2435595347.38045","2733723411.44429","2870244677.12019","3025155337.29416","3317586686.75806","3476195214.30393","3553350717.30671","3713658264.99642","3838186447.30401","3773623681.83795","3758932154.71178","3800808004.13945","3791513364.52901","3933231632.99785","4108430592.53654","4274035085.38058","4396964189.90574","4399362806.5794","4319608802.18015","4367581135.65338","4553973639.66916","3920838780.18393","4616637500.26857","5062280489.76259","5120446944.09888","5537855017.18835",
"Bermuda","BMU","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4590185345.38926","4427950656.44693","4425305477.79097","4558443763.51373","4585776801.63321","4787511925.21814","4912009996.49314","5137962497.72207","5338343039.97476","5518920341.71899","6033126782.14776","6468865474.88561","6373269189.12062","6590642706.88919","6743629135.8445","6856531387.14938","7236648325.58591","7478724322.30957","7339174630.08064","6926221459.19911","6752866566.01595","6500124036.35431","6155273013.91577","6138056189.30173","5910882580.79991","5956723230.72066","5917575270.12109","6131283757.29927","6104747481.47019","6123495555.42821","5705409424.09851","5968282122.23481","6354801543.59174","6667280834.70371","6807651686.68623",
"Bolivia","BOL","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36538326982.6032","38462627717.1272","39095914183.6894","40765034529.6888","42667646760.3835","44663757293.3077","46611696477.6792","48920937219.8357","51381344702.3028","51600684172.7671","52894731707.967","53785372738.8102","55122243535.5747","56616794883.6066","58979581087.2093","61587323823.4941","64541673181.502","67487603159.0697","71637077004.9382","74041933375.039","77097438566.4818","81109660540.733","85264320876.3761","91058893867.2337","96031228058.5687","100695644556.352","104989227153.549","109393741860.696","114014121816.519","116541479284.778","106358219596.122","112858166789.685","116927471619.142","120531135615.935","122200109507.066",
"Brazil","BRA","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1884169357425.44","1903617557305.84","1893260506241.88","1986497717136.91","2102764853268.8","2191581301268.73","2239990352767.53","2316034575352.12","2323865039642.62","2334739277157.34","2437186456368.9","2471060823210.57","2546513722962.3","2575565089958.24","2723916728335.27","2811140139216.53","2922517194189.03","3099910206337.3","3257825690916.84","3253726955188.17","3498674867880.87","3637727009304.74","3707614147035.21","3819021377420.85","3838267554873.44","3702171668999.07","3580891601337.74","3628262108190.7","3692978213439.46","3738061272499.81","3615574020935.6","3787769507585.78","3902034936461.01","4028525459920.96","4165328804627.36",
"Barbados","BRB","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4389884980.45741","4218683552.64831","3978534106.84269","4010086597.74854","4090720719.31504","4173107759.77543","4339050404.10809","4544725876.7021","4714174358.82252","4729950628.86747","4940300502.66112","4823439439.80508","4861419299.9885","4967178543.18329","5037295151.3865","5236543205.5189","5554429980.96923","5669916792.79233","5705833481.20919","5419556102.58952","5299366018.54009","5260604624.09112","5244122563.18964","5191136900.81965","5195414681.98675","5151456355.18413","5243766864.27155","5250502273.14038","5188857958.70551","5222719689.0891","4436472511.25397","4425161020.06509","5214293923.41486","5427757736.63078","5634012547.93553",
"Brunei Darussalam","BRN","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30166243010.9338","31044278635.6021","30075505033.0829","29884931646.0164","30181609718.7749","30588244682.3254","30579889426.826","32519860855.3977","30354961859.7054","31648302533.9456","32747978585.697","33228083767.9709","34544394076.2845","35782267885.8421","35819674110.5465","35818268120.7388","37286248538.0044","35882934534.8187","34483245024.5781","33827975829.3173","34755323894.0047","36056704461.8118","36385950967.0723","35612828398.7822","34719698828.0046","34583464462.7432","33726514652.9977","34174647795.1643","34192545418.5773","35515401716.6394","35917994865.5525","35346624879.392","34771064638.0763","35163158528.8306","36640142252.3422",
"Bhutan","BTN","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2010284101.73056","2002084640.92525","2094198377.9646","2135796834.24767","2241550894.04795","2400120837.16429","2533691711.12436","2669848212.92984","2827743862.1805","3053510134.54544","3155957487.60289","3387237866.8337","3740993528.13294","4032288249.08933","4240243731.6635","4534307664.85762","4790079125.31122","5561511005.30764","5813416797.51818","6259160087.80709","7005995172.77908","7600752212.39253","7993317392.44933","8132108591.23954","8610364850.97851","9183884143.93099","9962304965.18771","10170202850.8859","10526350322.3541","11132157416.348","9994629330.03013","10436528611.9245","10980675420.6109","11516817215.7434","",
"Botswana","BWA","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13737121067.1491","14761732982.6653","15192343094.6624","15483444652.0444","16045171041.42","17173212390.6798","18174376329.0011","19687555070.9951","19774901583.8336","21686588918.6769","22117652343.1036","22173073418.1583","23518874955.5387","24606833357.2703","25272650395.438","26424235521.1382","28634324517.3902","30292983736.5049","31278133668.7615","26854081059.0387","29571639765.2715","31593869884.1802","31539889509.0757","35041734070.6539","37038112197.9447","35241272984.2549","37780203980.5696","39334624593.1711","40982231020.1411","42224719386.9793","38538973283.1063","43131382324.765","45497577319.2425","46957170593.6146","45553212803.1718",
"Central African Republic","CAF","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4254024013.57752","4230518701.45514","3958746871.83074","3972019587.50868","4166646537.85194","4466646986.79807","4287976954.96817","4515236990.05924","4727459557.33197","4897646915.00793","4775723303.89492","4988946886.03721","5169374255.08257","4890358043.7725","5183529346.83071","5230606705.4001","5480163419.84512","5732663859.49915","5850420282.78479","6352811108.50702","6646998256.28472","6925814264.62087","7275828382.42044","4628010583.77193","4631762535.80156","4832647682.81084","5062213759.5644","5291394260.22005","5491908660.98135","5662157829.47177","5713117249.75906","5769272621.61696","5795459458.59575","5836025842.85662","5925879191.97262",
"Canada","CAN","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1120801922796.48","1097365337052.13","1107137004254.31","1136561460981.26","1187639093309.48","1219495471948.22","1240092277610.05","1293170296014.76","1343511948452.21","1412581945244.22","1485168021955.29","1513016379420.16","1558395604128.98","1586546230479.85","1635608012462.46","1688118461712.15","1732650077166.73","1768167751446.19","1785768204658.82","1733711521883.99","1787297187601.06","1843368175269.74","1875731476781.95","1919357493594.25","1974509593521.01","1987343333305.37","2007982905874.52","2068901792299.98","2125651012259.85","2166217615236.3","2057078515077.34","2179485548675.88","2270784989049.25","2305499512574.39","2340729415083.26",
"Central Europe and the Baltics","CEB","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1915427881598.03","1707212727726.54","1621343599629.6","1625364410793.73","1684724868202.6","1780980332248.89","1860780064004.33","1890118291710.48","1936652789044.97","1969134769507.41","2046319506367.76","2109430637789.06","2186272114610.16","2272186559466.74","2410418889281.27","2528087422590.21","2696601715994.73","2867226548642.51","2989616097997.83","2883536539949.47","2919732685188.53","3026928029420.98","3054393401578.98","3074143766324.39","3175332781879.59","3301104256752.94","3394273832158.82","3571867146408.12","3754808888401.12","3907069650295.99","3777893308846.2","4024398935016.4","4189769625249.6","4224591869152.41","4306748946242.95",
"Switzerland","CHE","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","429865465276.507","425928685916.704","425742414487.746","425206049461.515","430605136437.395","432675771746.154","434714886233.391","444545203934.929","458014787166.894","465630203839.485","484063199415.652","491690399241.363","491330397018.135","491171213705.283","504441231227.387","518311847253.687","539425945956.429","560551893013.236","576292098193.45","563052510335.878","581314539446.072","591854401636.592","598833867469.113","609565832737.812","623889906953.519","634150571985.999","647269179490.259","656090161634.552","674857265070.437","682564014843.147","667945287968.94","705080509164.276","726543590171.716","731508267222.482","741034943164.658",
"Channel Islands","CHI","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","147172763036.257","158587779669.046","176828437354.071","188650451778","198227864981.982","216574701463.885","231983693958.038","249131323760.696","259547221959.492","258837019267.071","271705416136.621","280275099853.599","289251748327.894","302913817845.164","323131055958.837","341992363428.016","362682870039.799","381427158507.514","395880931813.472","391454835583.877","414361406471.93","440150832727.996","467243613076.906","482702406549.607","491355568689.018","501929257996.829","510728272382.438","517662406507.422","538317289123.074","541732199234.256","508451018132.847","565981846554.521","578173059090.967","581187468274.136","596555875617.396",
